FiscalYear,FiscalYearType,AccountName,AgencyName,OperatingUnit,Category,Sector,Amount
2006,FY 2006 Actual Base,Economic Support Fund,DOS and USAID,Liberia,Peace and Security,Stabilization Operations and Security Sector Reform,5200000
2007,FY 2007 Actual Base,Food for Peace Title II,DOS and USAID,Haiti,Education and Social Services,Basic Education,4878000
2007,FY 2007 Actual Supp,Economic Support Fund,DOS and USAID,Nepal,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,500000
2007,FY 2007 Actual Base,Development Assistance,DOS and USAID,"Bureau for Economic Growth, Agriculture and Trade (USAID)",Economic Development,Economic Opportunity,22951000
2008,FY 2008 Actual Base,"Nonproliferation, Antiterrorism, Demining and Related Programs",DOS and USAID,Ethiopia,Peace and Security,Counterterrorism,1000000
2015,FY 2015 Request,Economic Support Fund,DOS and USAID,Burma,"Democracy, Human Rights, and Governance",Good Governance,4000000
2006,FY 2006 Actual Base,Development Assistance,DOS and USAID,Angola,Economic Development,Private Sector Competitiveness,474000
2009,FY 2009 Actual Base,Global Health Programs - USAID,DOS and USAID,Bureau for Global Health (USAID),Health,Family Planning and Reproductive Health,118500000
2015,FY 2015 Request,Global Health Programs - USAID,DOS and USAID,Africa Regional Office (USAID),Health,Malaria,2500000
2006,FY 2006 Actual Base,Development Assistance,DOS and USAID,Caribbean Regional Office (USAID),Economic Development,Private Sector Competitiveness,2740000
2009,FY 2009 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Kazakhstan,Peace and Security,Transnational Crime,160000
2008,FY 2008 Actual Base,Economic Support Fund,DOS and USAID,Georgia,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,4270000
2011,FY 2011 Actual Base,Development Assistance,DOS and USAID,Philippines,Peace and Security,Conflict Mitigation and Reconciliation,550000
2009,FY 2009 Actual Base,Development Assistance,DOS and USAID,Peru,Economic Development,Private Sector Competitiveness,3000000
2013,FY 2013 Actual Base,Economic Support Fund,DOS and USAID,Democratic Republic of Congo,Education and Social Services,Basic Education,10129000
2008,FY 2008 Actual Base,International Military Education and Training,DOS and USAID,Dominican Republic,Peace and Security,Stabilization Operations and Security Sector Reform,946000
2012,FY 2012 Actual Base,Global Health Programs - USAID,DOS and USAID,Tanzania,Health,Malaria,49000000
2009,FY 2009 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Bosnia and Herzegovina,Economic Development,Private Sector Competitiveness,4651000
2008,FY 2008 Actual Base,International Narcotics Control and Law Enforcement,DOS and USAID,Yemen,Peace and Security,Stabilization Operations and Security Sector Reform,496000
2008,FY 2008 Actual Base,International Organizations and Programs,DOS and USAID,International Organizations (DOS) - UNHCHR UN High Commissioner for Human Rights,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,6944000
2015,FY 2015 Request,International Military Education and Training,DOS and USAID,Senegal,Peace and Security,Stabilization Operations and Security Sector Reform,700000
2010,FY 2010 Actual Base,Development Assistance,DOS and USAID,Southern Africa Regional Office (USAID),"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,1000000
2015,FY 2015 Request,Global Health Programs - USAID,DOS and USAID,Ghana,Health,Maternal and Child Health,8000000
2008,FY 2008 Actual Base,International Narcotics Control and Law Enforcement,DOS and USAID,Eastern Caribbean (DOS),Peace and Security,Counter-Narcotics,400000
2012,FY 2012 Actual Base,Economic Support Fund,DOS and USAID,Sudan,"Democracy, Human Rights, and Governance",Civil Society,8760000
2009,FY 2009 Actual Base,Economic Support Fund,DOS and USAID,Democratic Republic of Congo,"Democracy, Human Rights, and Governance",Civil Society,1256000
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Georgia,Health,Family Planning and Reproductive Health,725000
2006,FY 2006 Actual Base,International Assistance Programs,Treasury,International Organizations and Development Institutions (US Treasury) - Asian Development Fund (AsDF),Multi-Sector,International Contributions,99000000
2008,FY 2008 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Tajikistan,Humanitarian Assistance,"Protection, Assistance and Solutions",850000
2011,FY 2011 Actual Base,Food for Peace Title II,DOS and USAID,Burkina Faso,Health,Nutrition,5282000
2008,FY 2008 Actual Base,Economic Support Fund,DOS and USAID,Ecuador,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,172000
2015,FY 2015 Request,Development Assistance,DOS and USAID,Sahel Regional Program (USAID),Economic Development,Agriculture,10000000
2012,FY 2012 Actual Base,Economic Support Fund,DOS and USAID,South Sudan,"Democracy, Human Rights, and Governance",Civil Society,31092000
2009,FY 2009 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Armenia,Education and Social Services,Social Assistance,1200000
2006,FY 2006 Actual Base,Development Assistance,DOS and USAID,Office of Development Partners (USAID),Economic Development,Agriculture,2070000
2010,FY 2010 Actual Base,Development Assistance,DOS and USAID,"Bureau for Economic Growth, Agriculture and Trade (USAID)",Economic Development,Infrastructure,2321000
2015,FY 2015 Foreign Military Financing Request - OCO,Economic Support Fund - OCO,DOS and USAID,Pakistan,Health,Maternal and Child Health,30000000
2010,FY 2010 Actual Base,Global Health Programs - USAID,DOS and USAID,Kazakhstan,Program Management,Monitoring and Evaluation,20000
2006,FY 2006 Actual Base,Economic Support Fund,DOS and USAID,Office to Monitor and Combat Trafficking In Persons (DOS),Peace and Security,Transnational Crime,11880000
2007,FY 2007 Actual Base,"Nonproliferation, Antiterrorism, Demining and Related Programs",DOS and USAID,Senegal,Peace and Security,Counterterrorism,3975000
2013,FY 2013 Actual Base,International Narcotics Control and Law Enforcement,DOS and USAID,Armenia,Peace and Security,Stabilization Operations and Security Sector Reform,1155000
2006,FY 2006 Actual Base,Development Assistance,DOS and USAID,Regional Office Development Mission-Asia (USAID),Health,Water Supply and Sanitation,2857000
2006,FY 2006 Actual Base,International Narcotics Control and Law Enforcement,DOS and USAID,Colombia,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,19690000
2011,FY 2011 Actual Base,Peacekeeping Operations,DOS and USAID,Africa Regional Office (DOS),Peace and Security,Stabilization Operations and Security Sector Reform,15960000
2008,FY 2008 Actual Base,Development Assistance,DOS and USAID,Philippines,Economic Development,Agriculture,2997000
2006,FY 2006 Actual Base,Global Health Programs - USAID,DOS and USAID,Philippines,Health,Maternal and Child Health,4356000
2015,FY 2015 Request,Foreign Military Financing,DOS and USAID,Kenya,Peace and Security,Stabilization Operations and Security Sector Reform,1200000
2012,FY 2012 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Ukraine,Economic Development,Economic Opportunity,960000
2012,FY 2012 Actual Base,International Narcotics Control and Law Enforcement,DOS and USAID,Liberia,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,6300000
2014,FY 2014 Request,International Organizations and Programs,DOS and USAID,International Organizations (DOS) - ReCAAP - Regional Cooperation Agreement on Combating Piracy and Armed Robbery Against Ships in Asia,Peace and Security,Conflict Mitigation and Reconciliation,50000
2011,FY 2011 Actual Base,International Organizations and Programs,DOS and USAID,International Organizations (DOS) - International Conservation Programs,Environment,Environment,7500000
2013,FY 2013 Actual Base,Economic Support Fund,DOS and USAID,Georgia,Economic Development,Infrastructure,2910000
2014,FY 2014 Request,Economic Support Fund,DOS and USAID,Serbia,Economic Development,Private Sector Competitiveness,4000000
2010,FY 2010 Actual Base,Global Health Programs - State,DOS and USAID,Barbados and Eastern Caribbean (DOS & USAID),Health,HIV/AIDS,12844000
2014,FY 2014 Request,Peacekeeping Operations,DOS and USAID,Somalia,Peace and Security,Stabilization Operations and Security Sector Reform,70000000
2010,FY 2010 Actual Base,International Narcotics Control and Law Enforcement,DOS and USAID,Haiti,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,42360000
2006,FY 2006 Actual Base,Food for Peace Title II,DOS and USAID,The Gambia,Economic Development,Agriculture,1517000
2008,FY 2008 Actual Base,Emergency Refugee and Migration Assistance,DOS and USAID,"Bureau of Population, Refugees, and Migration (DOS)",Humanitarian Assistance,"Protection, Assistance and Solutions",75636000
2015,FY 2015 Request,Economic Support Fund,DOS and USAID,Jordan,Economic Development,Private Sector Competitiveness,31000000
2015,FY 2015 Request,Economic Support Fund,DOS and USAID,Cuba,"Democracy, Human Rights, and Governance",Civil Society,15000000
2006,FY 2006 Actual Base,Development Assistance,DOS and USAID,India,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,226000
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Kazakhstan,Peace and Security,Stabilization Operations and Security Sector Reform,905000
2013,FY 2013 Actual Base,Economic Support Fund,DOS and USAID,Bureau of Oceans and International Environmental and Scientific Affairs (DOS),Economic Development,Economic Opportunity,791000
2011,FY 2011 Actual Base,International Narcotics Control and Law Enforcement,DOS and USAID,Bureau of International Narcotics and Law Enforcement Affairs (DOS),Peace and Security,Stabilization Operations and Security Sector Reform,53865000
2008,FY 2008 Actual Base,Development Assistance,DOS and USAID,Africa Regional Office (USAID),Health,Water Supply and Sanitation,7065000
2015,FY 2015 Request,International Military Education and Training,DOS and USAID,Namibia,Peace and Security,Stabilization Operations and Security Sector Reform,110000
2014,FY 2014 Request,"Nonproliferation, Antiterrorism, Demining and Related Programs",DOS and USAID,Kosovo,Peace and Security,Combating Weapons of Mass Destruction (WMD),720000
2015,FY 2015 Request,Economic Support Fund,DOS and USAID,Turkmenistan,Education and Social Services,Higher Education,563000
2010,FY 2010 Actual Base,Development Assistance,DOS and USAID,Tanzania,"Democracy, Human Rights, and Governance",Civil Society,698000
2009,FY 2009 Actual Base,Economic Support Fund,DOS and USAID,Cambodia,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,6900000
2006,FY 2006 Actual Base,Global Health Programs - USAID,DOS and USAID,Bolivia,Health,Tuberculosis,990000
2009,FY 2009 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Kazakhstan,Economic Development,Infrastructure,491000
2011,FY 2011 Actual Base,Global Health Programs - USAID,DOS and USAID,Benin,Health,Family Planning and Reproductive Health,2994000
2013,FY 2013 Actual Base,Global Health Programs - USAID,DOS and USAID,Benin,Health,Maternal and Child Health,3806000
2012,FY 2012 Actual Base,Economic Support Fund,DOS and USAID,Egypt,Environment,Environment,8000000
2006,FY 2006 Actual Base,Economic Support Fund,DOS and USAID,East Asia and Pacific Regional Office (DOS),Economic Development,Trade and Investment,9800000
2014,FY 2014 Request,Economic Support Fund,DOS and USAID,Lebanon,Health,Water Supply and Sanitation,11427000
2009,FY 2009 Actual Base,Economic Support Fund,DOS and USAID,Zimbabwe,Education and Social Services,Social Services,3000000
2013,FY 2013 Actual Base,Democracy Fund,DOS and USAID,"Bureau of Democracy, Human Rights and Labor (DOS)","Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,975000
2008,FY 2008 Actual Base,Global Health Programs - USAID,DOS and USAID,Nigeria,Health,Maternal and Child Health,16450000
2011,FY 2011 Actual Base,International Narcotics Control and Law Enforcement,DOS and USAID,South and Central Asia Regional Office (DOS),Peace and Security,Counter-Narcotics,4210000
2015,FY 2015 Request,"Nonproliferation, Antiterrorism, Demining and Related Programs",DOS and USAID,Lebanon,Peace and Security,Combating Weapons of Mass Destruction (WMD),960000
2007,FY 2007 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Montenegro,Economic Development,Agriculture,300000
2009,FY 2009 Actual Base,Development Assistance,DOS and USAID,Rwanda,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,700000
2008,FY 2008 Actual Base,International Narcotics Control and Law Enforcement,DOS and USAID,Haiti,Peace and Security,Stabilization Operations and Security Sector Reform,6950000
2006,FY 2006 Actual Base,Food for Peace Title II,DOS and USAID,Cote d'Ivoire,Health,Maternal and Child Health,3439000
2014,FY 2014 Request,International Military Education and Training,DOS and USAID,Comoros,Peace and Security,Stabilization Operations and Security Sector Reform,100000
2012,FY 2012 Actual Base,Development Assistance,DOS and USAID,Morocco,"Democracy, Human Rights, and Governance",Good Governance,5500000
2009,FY 2009 Actual Base,Development Assistance,DOS and USAID,Latin America and Caribbean Regional Office (USAID),Economic Development,Trade and Investment,11775000
2012,FY 2012 Actual Base,Global Health Programs - USAID,DOS and USAID,Bureau for Global Health (USAID),Health,Tuberculosis,54500000
2009,FY 2009 Supp,Economic Support Fund,DOS and USAID,Pakistan,Education and Social Services,Basic Education,20000000
2011,FY 2011 Actual Base,Development Assistance,DOS and USAID,India,Economic Development,Private Sector Competitiveness,1000000
2015,FY 2015 Request,Global Health Programs - USAID,DOS and USAID,Liberia,Health,HIV/AIDS,2700000
2007,FY 2007 Actual Base,Development Assistance,DOS and USAID,Nepal,"Democracy, Human Rights, and Governance",Civil Society,2649000
2009,FY 2009 Actual Base,Foreign Military Financing,DOS and USAID,Belize,Peace and Security,Stabilization Operations and Security Sector Reform,200000
2014,FY 2014 Request,Economic Support Fund,DOS and USAID,Sudan,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,1450000
2015,FY 2015 Request,"Nonproliferation, Antiterrorism, Demining and Related Programs",DOS and USAID,Panama,Peace and Security,Combating Weapons of Mass Destruction (WMD),500000
2007,FY 2007 Actual Base,Global Health Programs - State,DOS and USAID,Zimbabwe,Health,HIV/AIDS,4000000
2010,FY 2010 Actual Base,Global Health Programs - USAID,DOS and USAID,South America Regional Office (USAID),Program Management,Direct Administrative Costs,613000
2013,FY 2013 Actual Base,International Military Education and Training,DOS and USAID,Mauritius,Peace and Security,Stabilization Operations and Security Sector Reform,94000
2012,FY 2012 Actual Base,Economic Support Fund,DOS and USAID,Jordan,Health,Maternal and Child Health,10000000
2015,FY 2015 Request,Economic Support Fund,DOS and USAID,Bureau of Oceans and International Environmental and Scientific Affairs (DOS),Education and Social Services,Higher Education,1600000
2010,FY 2010 Actual Base,Foreign Military Financing,DOS and USAID,Albania,Peace and Security,Stabilization Operations and Security Sector Reform,3000000
2012,FY 2012 Actual Base,Economic Support Fund,DOS and USAID,Iraq,"Democracy, Human Rights, and Governance",Good Governance,40900000
2014,FY 2014 Request,Economic Support Fund,DOS and USAID,Kyrgyz Republic,Economic Development,Trade and Investment,1300000
2007,FY 2007 Actual Base,Development Assistance,DOS and USAID,Haiti,Education and Social Services,Social Assistance,1750000
2013,FY 2013 Foreign Military Financing Base - OCO,Migration and Refugee Assistance - OCO,DOS and USAID,"Bureau of Population, Refugees, and Migration (DOS)",Humanitarian Assistance,"Protection, Assistance and Solutions",751694000
2010,FY 2010 Actual Base,Global Health Programs - USAID,DOS and USAID,Rwanda,Program Management,Monitoring and Evaluation,1010000
2006,FY 2006 Actual Base,Food for Peace Title II,DOS and USAID,Cape Verde,Health,Maternal and Child Health,1000000
2009,FY 2009 Actual Base,Food for Peace Title II,DOS and USAID,West Bank and Gaza,Humanitarian Assistance,"Protection, Assistance and Solutions",20715000
2008,FY 2008 Actual Base,Development Assistance,DOS and USAID,Bolivia,Environment,Environment,5000000
2012,FY 2012 Actual Base,Global Health Programs - State,DOS and USAID,Swaziland,Health,HIV/AIDS,24425000
2011,FY 2011 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Ukraine,Health,Tuberculosis,2511000
2006,FY 2006 Actual Base,Economic Support Fund,DOS and USAID,"Sudan, Pre-2011 Election",Peace and Security,Stabilization Operations and Security Sector Reform,2500000
2009,FY 2009 Actual Base,Democracy Fund,DOS and USAID,"Bureau for Democracy, Conflict, and Humanitarian Assistance (USAID)","Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,19500000
2012,FY 2012 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Europe Regional Office (DOS & USAID),Peace and Security,Stabilization Operations and Security Sector Reform,22000
2009,FY 2009 Actual Base,Global Health Programs - USAID,DOS and USAID,Zambia,Health,Malaria,14700000
2012,FY 2012 Actual Base,Development Assistance,DOS and USAID,Kenya,Education and Social Services,Basic Education,12000000
2008,FY 2008 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Tajikistan,Health,HIV/AIDS,724000
2010,FY 2010 Actual Base,International Narcotics Control and Law Enforcement,DOS and USAID,Jordan,Peace and Security,Counterterrorism,450000
2015,FY 2015 Request,Global Health Programs - USAID,DOS and USAID,Regional Office Development Mission-Asia (USAID),Health,Tuberculosis,1000000
2006,FY 2006 Actual Base,Foreign Military Financing,DOS and USAID,Oman,Peace and Security,Stabilization Operations and Security Sector Reform,13860000
2015,FY 2015 Request,Global Health Programs - USAID,DOS and USAID,Swaziland,Health,HIV/AIDS,6900000
2009,FY 2009 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Tajikistan,Peace and Security,Transnational Crime,1024000
2014,FY 2014 Request,Development Assistance,DOS and USAID,El Salvador,Education and Social Services,Higher Education,5000000
2012,FY 2012 Actual Base,"Nonproliferation, Antiterrorism, Demining and Related Programs",DOS and USAID,Angola,Peace and Security,Stabilization Operations and Security Sector Reform,7500000
2012,FY 2012 Actual Base,Development Assistance,DOS and USAID,West Africa Regional Office (USAID),Economic Development,Trade and Investment,10578000
2015,FY 2015 Request,Economic Support Fund,DOS and USAID,Yemen,"Democracy, Human Rights, and Governance",Good Governance,26000000
2008,FY 2008 Actual Base,Development Assistance,DOS and USAID,Bangladesh,Humanitarian Assistance,Disaster Readiness,1102000
2011,FY 2011 Actual Base,Economic Support Fund,DOS and USAID,Lebanon,Environment,Environment,1700000
2006,FY 2006 Actual Base,Development Assistance,DOS and USAID,"Bureau for Democracy, Conflict, and Humanitarian Assistance (USAID)",Peace and Security,Stabilization Operations and Security Sector Reform,1000000
2009,FY 2009 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Belarus,Health,Tuberculosis,240000
2014,FY 2014 Request,Global Health Programs - USAID,DOS and USAID,Timor-Leste,Health,Family Planning and Reproductive Health,1000000
2012,FY 2012 Actual Base,Economic Support Fund,DOS and USAID,Europe Regional Office (DOS & USAID),Education and Social Services,Higher Education,1250000
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Bulgaria,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,6574000
2013,FY 2013 Foreign Military Financing Base - OCO,Economic Support Fund - OCO,DOS and USAID,Democratic Republic of Congo,Education and Social Services,Social Services,3100000
2006,FY 2006 Actual Base,Development Assistance,DOS and USAID,Vietnam,Economic Development,Private Sector Competitiveness,1310000
2011,FY 2011 Actual Base,International Military Education and Training,DOS and USAID,India,Peace and Security,Stabilization Operations and Security Sector Reform,1601000
2015,FY 2015 Request,Global Health Programs - State,DOS and USAID,Democratic Republic of Congo,Health,HIV/AIDS,59975000
2011,FY 2011 Actual Base,"Nonproliferation, Antiterrorism, Demining and Related Programs",DOS and USAID,Vietnam,Peace and Security,Combating Weapons of Mass Destruction (WMD),700000
2015,FY 2015 Request,International Military Education and Training,DOS and USAID,Colombia,Peace and Security,Stabilization Operations and Security Sector Reform,1450000
2010,FY 2010 Actual Base,Economic Support Fund,DOS and USAID,Democratic Republic of Congo,Economic Development,Agriculture,8442000
2014,FY 2014 Request,Foreign Military Financing,DOS and USAID,Ecuador,Peace and Security,Stabilization Operations and Security Sector Reform,450000
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Azerbaijan,Peace and Security,Stabilization Operations and Security Sector Reform,2500000
2011,FY 2011 Actual Base,Development Assistance,DOS and USAID,Cambodia,Economic Development,Agriculture,10000000
2014,FY 2014 Request,Development Assistance,DOS and USAID,West Africa Regional Office (USAID),Economic Development,Infrastructure,1000000
2007,FY 2007 Actual Base,"Nonproliferation, Antiterrorism, Demining and Related Programs",DOS and USAID,Africa Regional Office (DOS),Peace and Security,Combating Weapons of Mass Destruction (WMD),75000
2011,FY 2011 Actual Base,Development Assistance,DOS and USAID,Ghana,Health,Water Supply and Sanitation,3570000
2015,FY 2015 Request,Peacekeeping Operations,DOS and USAID,Mali,Peace and Security,Stabilization Operations and Security Sector Reform,20445000
2007,FY 2007 Actual Base,Economic Support Fund,DOS and USAID,West Bank and Gaza,Economic Development,Private Sector Competitiveness,3250000
2014,FY 2014 Request,Foreign Military Financing,DOS and USAID,Botswana,Peace and Security,Stabilization Operations and Security Sector Reform,200000
2009,FY 2009 Actual Base,"Nonproliferation, Antiterrorism, Demining and Related Programs",DOS and USAID,Uzbekistan,Peace and Security,Combating Weapons of Mass Destruction (WMD),150000
2013,FY 2013 Actual Base,Food for Peace Title II,DOS and USAID,South Sudan,Economic Development,Agriculture,5452000
2013,FY 2013 Actual Base,International Military Education and Training,DOS and USAID,Pakistan,Peace and Security,Stabilization Operations and Security Sector Reform,5000000
2010,FY 2010 Actual Base,Development Assistance,DOS and USAID,Jamaica,"Democracy, Human Rights, and Governance",Civil Society,395000
2007,FY 2007 Actual Base,"Nonproliferation, Antiterrorism, Demining and Related Programs",DOS and USAID,Pakistan,Peace and Security,Counterterrorism,9529000
2012,FY 2012 Actual Base,Economic Support Fund,DOS and USAID,Democratic Republic of Congo,Peace and Security,Transnational Crime,200000
2009,FY 2009 Actual Base,"Nonproliferation, Antiterrorism, Demining and Related Programs",DOS and USAID,Russia,Peace and Security,Combating Weapons of Mass Destruction (WMD),850000
2015,FY 2015 Request,Economic Support Fund,DOS and USAID,Sudan,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,1970000
2014,FY 2014 Request,Development Assistance,DOS and USAID,Timor-Leste,Economic Development,Agriculture,1500000
2013,FY 2013 Actual Base,International Narcotics Control and Law Enforcement,DOS and USAID,Laos,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,150000
2009,FY 2009 Actual Base,International Military Education and Training,DOS and USAID,Georgia,Peace and Security,Stabilization Operations and Security Sector Reform,1426000
2009,FY 2009 Actual Base,Foreign Military Financing,DOS and USAID,Kosovo,Peace and Security,Stabilization Operations and Security Sector Reform,1500000
2006,FY 2006 Actual Base,Development Assistance,DOS and USAID,Somalia,Health,Water Supply and Sanitation,2500000
2007,FY 2007 Actual Base,Global Health Programs - USAID,DOS and USAID,Liberia,Health,Malaria,2500000
2010,FY 2010 Actual Base,Development Assistance,DOS and USAID,Central America Regional Office (USAID),Program Management,Direct Administrative Costs,1158000
2014,FY 2014 Request,Global Health Programs - USAID,DOS and USAID,Tanzania,Health,Maternal and Child Health,13135000
2010,FY 2010 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Moldova,"Democracy, Human Rights, and Governance",Good Governance,2248000
2014,FY 2014 Request,Economic Support Fund,DOS and USAID,China,Education and Social Services,Social Services,2520000
2010,FY 2010 Actual Base,Global Health Programs - USAID,DOS and USAID,Malawi,Health,Nutrition,2783000
2006,FY 2006 Actual Base,Global Health Programs - USAID,DOS and USAID,Peru,Health,Family Planning and Reproductive Health,6831000
2008,FY 2008 Actual Base,International Military Education and Training,DOS and USAID,Nicaragua,Peace and Security,Stabilization Operations and Security Sector Reform,483000
2006,FY 2006 Actual Base,Development Assistance,DOS and USAID,El Salvador,"Democracy, Human Rights, and Governance",Good Governance,3052000
2013,FY 2013 Actual Base,Foreign Military Financing,DOS and USAID,Kazakhstan,Peace and Security,Stabilization Operations and Security Sector Reform,855000
2011,FY 2011 Actual Base,Development Assistance,DOS and USAID,Ecuador,"Democracy, Human Rights, and Governance",Civil Society,1080000
2011,FY 2011 Actual Base,Global Health Programs - State,DOS and USAID,Georgia,Health,HIV/AIDS,850000
2015,FY 2015 Request,Foreign Military Financing,DOS and USAID,Uzbekistan,Peace and Security,Stabilization Operations and Security Sector Reform,700000
2007,FY 2007 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Uzbekistan,Health,Tuberculosis,938000
2012,FY 2012 Actual Base,Foreign Military Financing,DOS and USAID,Panama,Peace and Security,Stabilization Operations and Security Sector Reform,2340000
2011,FY 2011 Actual Base,N/A,DoD,Nigeria,Peace and Security,Counter-Narcotics,835000
2012,FY 2012 Actual Base,Economic Support Fund,DOS and USAID,Middle East Partnership Initiative (DOS),Economic Development,Private Sector Competitiveness,2560000
2012,FY 2012 Actual Base,Economic Support Fund,DOS and USAID,Zimbabwe,"Democracy, Human Rights, and Governance",Civil Society,7283000
2011,FY 2011 Actual Base,Global Health Programs - USAID,DOS and USAID,Bangladesh,Health,Family Planning and Reproductive Health,23154000
2012,FY 2012 Actual Base,Global Health Programs - USAID,DOS and USAID,Madagascar,Health,Family Planning and Reproductive Health,14000000
2007,FY 2007 Actual Base,"Nonproliferation, Antiterrorism, Demining and Related Programs",DOS and USAID,India,Peace and Security,Combating Weapons of Mass Destruction (WMD),377000
2010,FY 2010 Actual Base,Economic Support Fund,DOS and USAID,Liberia,Health,Water Supply and Sanitation,10324000
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Belarus,Humanitarian Assistance,"Protection, Assistance and Solutions",470000
2010,FY 2010 Actual Base,International Organizations and Programs,DOS and USAID,International Organizations (DOS) - UNDP UN Development Program,Economic Development,Private Sector Competitiveness,100500000
2010,FY 2010  Foreign Military Financing Base - OCO,Economic Support Fund - OCO,DOS and USAID,Afghanistan,Economic Development,Infrastructure,430959000
2008,FY 2008 Actual Base,Food for Peace Title II,DOS and USAID,Burundi,Health,Maternal and Child Health,1990000
2015,FY 2015 Request,International Narcotics Control and Law Enforcement,DOS and USAID,Africa Regional Office (DOS),"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,3000000
2014,FY 2014 Request,Economic Support Fund,DOS and USAID,Yemen,Humanitarian Assistance,"Protection, Assistance and Solutions",5500000
2009,FY 2009 Actual Base,Economic Support Fund,DOS and USAID,"Sudan, Pre-2011 Election","Democracy, Human Rights, and Governance",Civil Society,11081000
2010,FY 2010 Actual Base,Global Health Programs - USAID,DOS and USAID,Burundi,Health,Maternal and Child Health,1834000
2013,FY 2013 Actual Base,Global Health Programs - USAID,DOS and USAID,Ethiopia,Health,Maternal and Child Health,37112000
2015,FY 2015 Request,Economic Support Fund,DOS and USAID,Kosovo,Economic Development,Macroeconomic Foundation for Growth,1500000
2009,FY 2009 Actual Base,Transition Initiatives,DOS and USAID,"Bureau for Democracy, Conflict, and Humanitarian Assistance (USAID)","Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,8271000
2008,FY 2008 Actual Base,"Nonproliferation, Antiterrorism, Demining and Related Programs",DOS and USAID,Malaysia,Peace and Security,Combating Weapons of Mass Destruction (WMD),490000
2013,FY 2013 Foreign Military Financing Base - OCO,Economic Support Fund - OCO,DOS and USAID,Somalia,Economic Development,Economic Opportunity,1929000
2011,FY 2011 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Kyrgyz Republic,Education and Social Services,Higher Education,459000
2008,FY 2008 Actual Base,Economic Support Fund,DOS and USAID,Haiti,Economic Development,Private Sector Competitiveness,3266000
2011,FY 2011 Actual Base,Economic Support Fund,DOS and USAID,Pakistan,Health,Other Public Health Threats,9750000
2012,FY 2012 Foreign Military Financing Base - OCO,Economic Support Fund - OCO,DOS and USAID,Afghanistan,Economic Development,Economic Opportunity,18450000
2013,FY 2013 Actual Base,Development Assistance,DOS and USAID,"Bureau for Policy, Planning and Learning (USAID)",Humanitarian Assistance,"Protection, Assistance and Solutions",3930000
2007,FY 2007 Actual Base,Development Assistance,DOS and USAID,India,Health,Water Supply and Sanitation,912000
2013,FY 2013 Actual Base,Development Assistance,DOS and USAID,Bureau for Food Security (USAID),Economic Development,Agriculture,316559000
2014,FY 2014 Request,Emergency Food Assistance Contingency Fund,DOS and USAID,"Bureau for Democracy, Conflict, and Humanitarian Assistance (USAID)",Humanitarian Assistance,"Protection, Assistance and Solutions",75000000
2014,FY 2014 Request,International Military Education and Training,DOS and USAID,Zambia,Peace and Security,Stabilization Operations and Security Sector Reform,320000
