FiscalYear,QTR,FiscalYearType,AccountName,AgencyName,OperatingUnit,BenefitingCountry,Category,Sector,Amount
2009,4,Obligations,Economic Support Fund,USAID,Mexico,Mexico,Education and Social Services,Higher Education,307245.13
2013,3,Obligations,Global Health & Child Survival,USAID,Nepal,Nepal,Health,Maternal and Child Health,990905
2012,2,Obligations,Transition Initiatives,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Uganda,Program Management,Direct Administrative Costs,-20061.23
2009,2,Obligations,Global HIV/AIDS Initiative,USAID,Lesotho,Lesotho,Health,HIV/AIDS,15571.91
2013,2,Obligations,International Disaster Assistance,USAID,Kenya,Kenya,Humanitarian Assistance,Disaster Readiness,171567
2013,2,Obligations,Global Health & Child Survival,USAID,"Congo, Democratic Republic of","Congo, Democratic Republic of",Program Management,Direct Administrative Costs,140061.16
2010,2,Obligations,"Assistance for Europe, Eurasia and Central Asia",USAID,USAID Operating Expense,Worldwide,Program Management,Direct Administrative Costs,11.4
2011,4,Obligations,Assist. For N.I.S Of Former Soviet Union,USAID,Kazakhstan,Kazakhstan,Program Management,Direct Administrative Costs,-2838.52
2010,3,Obligations,"Assistance for Europe, Eurasia and Central Asia",USAID,Turkmenistan,Turkmenistan,Program Management,Direct Administrative Costs,240652.58
2012,,Obligations,N/A,IAF,Brazil,Brazil,,Rule of Law and Human Rights,217430
2010,3,Obligations,Operating Expenses,USAID,Brazil,Worldwide,Program Management,Direct Administrative Costs,475008.47
2012,1,Obligations,Global Health & Child Survival,USAID,Timor-Leste,Timor-Leste,Health,Family Planning and Reproductive Health,800000
2010,3,Obligations,Development Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Worldwide,"Democracy, Human Rights, and Governance",Civil Society,-518.31
2013,4,Obligations,Economic Support Fund,USAID,Ukraine,Ukraine,Economic Development,Economic Opportunity,250000
2013,1,Obligations,N/A,USAID,Rwanda,Rwanda,Economic Development,Private Sector Competitiveness,-21.28
2009,4,Obligations,Development Assistance,USAID,Nigeria,Nigeria,Program Management,Direct Administrative Costs,4082830.21
2013,1,Obligations,Economic Support Fund,USAID,Kenya,Kenya,Environment,Natural Resources and Biodiversity,2000
2013,4,Obligations,International Disaster Assistance,USAID,Colombia,Colombia,Humanitarian Assistance,Disaster Readiness,-4448.89
2011,4,Obligations,Development Assistance,USAID,USAID Africa Regional,Africa Region,Program Management,Monitoring and Evaluation,1266776
2010,4,Obligations,Development Assistance,USAID,USAID Office of Development Partners,Worldwide,Economic Development,Infrastructure,1918038.23
2012,3,Obligations,N/A,MCC,Lesotho,Lesotho,Health,Water Supply and Sanitation,-.02
2010,3,Obligations,Economic Support Fund,USAID,El Salvador,El Salvador,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,1000000
2011,3,Obligations,Assist. For N.I.S Of Former Soviet Union,USAID,Kazakhstan,Kazakhstan,Health,Tuberculosis,-106.4
2013,4,Obligations,Economic Support Fund,USAID,Azerbaijan,Azerbaijan,"Democracy, Human Rights, and Governance",Civil Society,2063285
2013,3,Obligations,Global Health & Child Survival,USAID,Jamaica,Jamaica,Health,HIV/AIDS,1201736.03
2010,4,Obligations,Development Credit Authority,USAID,Kenya,Kenya,Economic Development,Economic Opportunity,305403
2011,3,Obligations,International Disaster Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Asia Region,Program Management,Direct Administrative Costs,-61453.78
2009,4,Obligations,Development Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Liberia,Education and Social Services,Higher Education,1000000
2012,3,Obligations,Development Assistance,USAID,USAID Africa Regional,Africa Region,Environment,Clean Productive Environment,972228.17
2014,2,Obligations,N/A,Peace Corps,Jamaica,Jamaica,,Health - General,16560.53
2011,4,Obligations,Development Assistance,USAID,Mozambique,Mozambique,"Democracy, Human Rights, and Governance",Good Governance,1752100
2009,2,Obligations,Assist. For N.I.S Of Former Soviet Union,USAID,Azerbaijan,Azerbaijan,Economic Development,Financial Sector,1000000
2009,4,Obligations,Development Assistance,USAID,Somalia,Somalia,Program Management,Monitoring and Evaluation,138027.71
2010,4,Obligations,Operating Expenses,USAID,West Bank and Gaza,Worldwide,Program Management,Direct Administrative Costs,12184731.27
2011,3,Obligations,Operating Expenses,USAID,Jamaica,Worldwide,Program Management,Direct Administrative Costs,559268.86
2011,4,Obligations,Special Assistance Initiatives,USAID,Montenegro,Montenegro,Economic Development,Private Sector Competitiveness,-6174.92
2011,2,Obligations,International Disaster Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Pakistan,Program Management,Direct Administrative Costs,67122.19
2012,1,Obligations,Economic Support Fund,USAID,Morocco,Morocco,Economic Development,Financial Sector,-392.03
2009,4,Obligations,Global Health & Child Survival,USAID,USAID Global Health,Kenya,Health,Malaria,400000
2011,3,Obligations,N/A,MCC,Jordan,Jordan,Economic Development,Private Sector Competitiveness,-9750
2013,3,Obligations,Global Health & Child Survival,USAID,Cambodia,Cambodia,Health,Maternal and Child Health,100017.96
2013,4,Obligations,Commodity Credit Corp Title II and III,USAID,Burundi,Burundi,Humanitarian Assistance,"Protection, Assistance and Solutions",180753.49
2010,3,Obligations,N/A,MCC,Mongolia,Mongolia,Education and Social Services,Basic Education,21200000
2012,4,Obligations,International Disaster Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Burma,Program Management,Direct Administrative Costs,-5848
2013,1,Obligations,Global Health & Child Survival,USAID,Burkina Faso,Burkina Faso,Program Management,Direct Administrative Costs,38529.5
2012,1,Obligations,Development Assistance,USAID,Mongolia,Mongolia,"Democracy, Human Rights, and Governance",Good Governance,1194000
2009,3,Obligations,Special Assistance Initiatives,USAID,Macedonia,Macedonia,"Democracy, Human Rights, and Governance",Civil Society,-675000
2011,1,Obligations,Operating Expenses,USAID,Bolivia,Worldwide,Program Management,Direct Administrative Costs,1048335.07
2008,1,Obligations,N/A,MCC,Mozambique,Mozambique,Multi-Sector,Multi-Sector - Unspecified,21895.3
2014,1,Obligations,N/A,Peace Corps,Suriname,Suriname,,Health - General,-692.83
2011,2,Obligations,Development Assistance,USAID,India,India,Environment,Clean Productive Environment,6816.59
2010,4,Obligations,Economic Support Fund,USAID,Afghanistan,Afghanistan,Economic Development,Infrastructure,448071754
2013,3,Obligations,N/A,USAID,Sri Lanka,Sri Lanka,Education and Social Services,Social Assistance,905721
2010,2,Obligations,International Disaster Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Kenya,Humanitarian Assistance,"Protection, Assistance and Solutions",1749088.96
2010,4,Obligations,Development Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Ghana,Education and Social Services,Higher Education,400000
2012,4,Obligations,Development Assistance,USAID,USAID Caribbean Regional,Caribbean Region,Environment,Clean Productive Environment,4280000
2011,4,Obligations,Development Assistance,USAID,"USAID Economic Growth, Education and Environment",Worldwide,Economic Development,Financial Sector,400000
2010,1,Obligations,Assist. For N.I.S Of Former Soviet Union,USAID,Moldova,Moldova,"Democracy, Human Rights, and Governance",Civil Society,-9.369999999999999
2012,4,Obligations,Economic Support Fund,USAID,Jordan,Jordan,Economic Development,Economic Opportunity,2500000
2012,1,Obligations,Global Health & Child Survival,USAID,China,East Asia Region,Program Management,Direct Administrative Costs,-1521.59
2010,4,Obligations,N/A,MCC,Malawi,Malawi,Program Management,Direct Administrative Costs,160047
2013,3,Obligations,Global Health & Child Survival,USAID,East Africa Region,East Africa Region,Program Management,Direct Administrative Costs,71784.11
2010,4,Obligations,"Assistance for Europe, Eurasia and Central Asia",USAID,Uzbekistan,Uzbekistan,Health,Other Public Health Threats,530903
2011,1,Obligations,N/A,Peace Corps,Jamaica,Jamaica,,Environment - General,483125.31
2013,4,Obligations,N/A,MCC,Cape Verde,Cape Verde,Health,Water Supply and Sanitation,-6000
2013,3,Obligations,Child Survival and Health Programs Fund,USAID,Kenya,Kenya,Health,Maternal and Child Health,-16850.44
2010,1,Obligations,Development Assistance,USAID,Bangladesh,Bangladesh,Program Management,Direct Administrative Costs,2862.46
2012,2,Obligations,N/A,MCC,Senegal,Senegal,Program Management,Direct Administrative Costs,430762
2009,4,Obligations,Economic Support Fund,USAID,Iraq,Iraq,Economic Development,Economic Opportunity,25054259
2009,2,Obligations,N/A,MCC,Ghana,Ghana,Program Management,Direct Administrative Costs,14444
2012,4,Obligations,Development Credit Authority,USAID,"USAID Economic Growth, Education and Environment",Worldwide,Economic Development,Financial Sector,9852660
2014,2,Obligations,N/A,USAID,Kenya,Kenya,Education and Social Services,Higher Education,300000
2011,4,Obligations,Economic Support Fund,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Haiti,Program Management,Direct Administrative Costs,419574
2013,0,Obligations,N/A,DoD,Chad,Chad,Humanitarian Assistance,Humanitarian Assistance - General,344502
2010,4,Obligations,"Assistance for Europe, Eurasia and Central Asia",USAID,Azerbaijan,Azerbaijan,Program Management,Monitoring and Evaluation,20798.25
2010,2,Obligations,International Disaster Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Iraq,Humanitarian Assistance,"Protection, Assistance and Solutions",2604002.15
2012,,Obligations,N/A,USADF,Malawi,Malawi,,Trade and Investment,42607
2009,4,Obligations,Development Assistance,USAID,Ghana,Ghana,Economic Development,Macroeconomic Foundation for Growth,325000
2014,2,Obligations,N/A,Peace Corps,Guinea,Guinea,,Economic Development - General,184073.04
2011,1,Obligations,N/A,Peace Corps,Worldwide,Worldwide,,Direct Administrative Costs,70598788.77
2013,4,Obligations,International Disaster Assistance,USAID,Nicaragua,Nicaragua,Humanitarian Assistance,"Protection, Assistance and Solutions",-34948
2013,4,Obligations,N/A,USAID,Worldwide,Worldwide,Education and Social Services,Higher Education,11378137.5
2006,3,Obligations,N/A,MCC,Nicaragua,Nicaragua,Economic Development,Macroeconomic Foundation for Growth,22900000
2011,1,Obligations,Global Health & Child Survival,USAID,Kyrgyz Republic,Kosovo,Health,HIV/AIDS,100000
2012,1,Obligations,Development Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Mauritania,Peace and Security,Counterterrorism,-440000
2013,2,Obligations,Child Survival and Health Programs Fund,USAID,Zimbabwe,Zimbabwe,Health,HIV/AIDS,-33518.22
2012,4,Obligations,Global HIV/AIDS Initiative,USAID,USAID Global Health,South Africa,Health,HIV/AIDS,2667.8
2012,4,Obligations,Development Assistance,USAID,Angola,Angola,Program Management,Direct Administrative Costs,528965
2011,4,Obligations,Development Assistance,USAID,Paraguay,Paraguay,Program Management,Direct Administrative Costs,576140.9399999999
2011,4,Obligations,Development Assistance,USAID,Chad,Chad,Education and Social Services,Social Assistance,84548.57000000001
2014,,Obligations,N/A,USADF,Burkina Faso,Burkina Faso,,Agriculture,180966
2009,4,Obligations,Global Health & Child Survival,USAID,"Congo, Democratic Republic of","Congo, Democratic Republic of",Health,Maternal and Child Health,6318579
2011,,Obligations,N/A,Treasury,Thailand,N/A,Economic Development,Financial Sector,115250.58
2011,4,Obligations,Global Health & Child Survival,USAID,Ethiopia,Ethiopia,Health,Malaria,160131.9
2011,3,Obligations,Economic Support Fund,USAID,"Sudan, Pre-2011 Election","Sudan, Pre-2011 Election",Education and Social Services,Basic Education,1089561
2009,4,Obligations,Global Health & Child Survival,USAID,Liberia,Liberia,Health,Malaria,6997000
2009,4,Obligations,Development Assistance,USAID,Mozambique,Mozambique,Program Management,Monitoring and Evaluation,1008000
2011,4,Obligations,Development Assistance,USAID,Vietnam,Vietnam,Education and Social Services,Higher Education,8000
2011,3,Obligations,Global Health & Child Survival,USAID,USAID Regional Development Mission-Asia,Laos,Program Management,Direct Administrative Costs,9299
2013,4,Obligations,N/A,USAID,Guatemala,Guatemala,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,2345209.2
2009,,Obligations,N/A,IAF,Ecuador,Ecuador,,Social Services,29740
2009,4,Obligations,Development Assistance,USAID,USAID Southern Africa Regional,South Africa Region,Economic Development,Infrastructure,268000
2009,3,Obligations,Global Health & Child Survival,USAID,Ukraine,Ukraine,Health,Tuberculosis,23200
2012,4,Obligations,Development Assistance,USAID,"USAID Economic Growth, Education and Environment",West Bank and Gaza,Program Management,Monitoring and Evaluation,-1225.75
2011,3,Obligations,Transition Initiatives,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Sri Lanka,Program Management,Monitoring and Evaluation,37072
2009,2,Obligations,Assist. For N.I.S Of Former Soviet Union,USAID,Azerbaijan,Azerbaijan,Economic Development,Macroeconomic Foundation for Growth,1043000
2013,1,Obligations,N/A,USAID,Guinea,Guinea,"Democracy, Human Rights, and Governance",Civil Society,11692.35
2014,2,Obligations,N/A,Peace Corps,Botswana,Botswana,,Education and Social Services - General,3434.44
2012,3,Obligations,International Disaster Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Belize,Humanitarian Assistance,Disaster Readiness,-10000
2013,1,Obligations,N/A,USAID,Uganda,Uganda,Education and Social Services,Higher Education,750000
2014,2,Obligations,N/A,Peace Corps,Albania,Albania,,Education and Social Services - General,153353.32
2014,2,Obligations,Economic Support Fund,USAID,Central Asia Region,Central Asia Region,Economic Development,Trade and Investment,1088197
2014,2,Obligations,Special Assistance Initiatives,USAID,Bosnia and Herzegovina,Bosnia and Herzegovina,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,-.01
2013,4,Obligations,Economic Support Fund,USAID,"Congo, Democratic Republic of","Congo, Democratic Republic of",Economic Development,Economic Opportunity,209204
2013,2,Obligations,Development Credit Authority,USAID,Macedonia,Macedonia,Economic Development,Private Sector Competitiveness,0
2006,2,Obligations,N/A,MCC,Sri Lanka,Sri Lanka,Multi-Sector,Multi-Sector - Unspecified,17984.35
2013,2,Obligations,Global Health & Child Survival,USAID,Nigeria,Nigeria,Program Management,Direct Administrative Costs,454546.7
2013,1,Obligations,N/A,USAID,Central Africa Region Program for Environment,Central Africa Region Program for Environment,Environment,Clean Productive Environment,1000000
2012,4,Obligations,International Disaster Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Asia Region,Program Management,Direct Administrative Costs,-5137.16
2009,3,Obligations,Operating Expenses,USAID,Colombia,Worldwide,Program Management,Direct Administrative Costs,1748286.53
2009,3,Obligations,Economic Support Fund,USAID,Mexico,Mexico,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,13651394.12
2013,1,Obligations,N/A,USAID,Jamaica,Jamaica,Economic Development,Agriculture,1941.48
2009,3,Obligations,Global Health & Child Survival,USAID,Angola,Angola,Health,Malaria,1282000
2010,1,Obligations,"Assistance for Europe, Eurasia and Central Asia",USAID,Azerbaijan,Azerbaijan,Program Management,Direct Administrative Costs,130483.34
2013,4,Obligations,Economic Support Fund,USAID,Lebanon,Lebanon,Peace and Security,Conflict Mitigation and Reconciliation,7000000
2013,2,Obligations,N/A,USAID,Sri Lanka,Sri Lanka,Economic Development,Private Sector Competitiveness,2658822.37
2013,4,Obligations,Economic Support Fund,USAID,Sri Lanka,Sri Lanka,Economic Development,Agriculture,3920
2011,4,Obligations,Development Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Georgia,Education and Social Services,Social Services,800000
2011,4,Obligations,Global Health & Child Survival,USAID,Uganda,Uganda,Health,Maternal and Child Health,8198000
2011,3,Obligations,Global Health & Child Survival,USAID,Cambodia,Cambodia,Program Management,Direct Administrative Costs,566889
2010,4,Obligations,"Assistance for Europe, Eurasia and Central Asia",USAID,Georgia,Georgia,Health,Tuberculosis,400000
2013,3,Obligations,Economic Support Fund,USAID,Afghanistan,Afghanistan,Environment,Natural Resources and Biodiversity,-45330.83
2013,3,Obligations,Global Health & Child Survival,USAID,Cambodia,Cambodia,Health,Pandemic Influenza and Other Emerging Threats ,38592.79
2009,4,Obligations,Development Assistance,USAID,Namibia,Namibia,Education and Social Services,Basic Education,985588
2012,1,Obligations,Global Health & Child Survival,USAID,USAID Operating Expense,Worldwide,Economic Development,Private Sector Competitiveness,248.51
2011,2,Obligations,Development Assistance,USAID,USAID Africa Regional,Africa Region,Economic Development,Infrastructure,649995.63
2010,3,Obligations,Development Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Worldwide,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,23540.08
2010,4,Obligations,Global Health & Child Survival,USAID,India,India,Health,Tuberculosis,11300000
2010,4,Obligations,Operating Expenses,USAID,"USAID Economic Growth, Education and Environment",Worldwide,Program Management,Direct Administrative Costs,5749011.49
2013,2,Obligations,N/A,DOS,Worldwide,Worldwide,,Combating Weapons of Mass Destruction (WMD),48604085.64
2012,2,Obligations,Assist. For N.I.S Of Former Soviet Union,USAID,Joint Eurasia Regional,Eurasia Region,Health,Other Public Health Threats,-1674.97
2014,1,Obligations,N/A,MCC,El Salvador,El Salvador,Education and Social Services,Basic Education,0
2009,3,Obligations,Global Health & Child Survival,USAID,USAID Global Health,Mozambique,Health,HIV/AIDS,6560
2010,4,Obligations,Assist. For N.I.S Of Former Soviet Union,USAID,Kazakhstan,Kazakhstan,Program Management,Monitoring and Evaluation,-15.83
2009,1,Obligations,Operating Expenses,USAID,Nepal,Worldwide,Program Management,Direct Administrative Costs,473381.47
2010,4,Obligations,Development Assistance,USAID,USAID Africa Regional,Africa Region,Economic Development,Trade and Investment,2865000
2014,2,Obligations,Global Health & Child Survival,USAID,Timor-Leste,Timor-Leste,Health,Family Planning and Reproductive Health,0
2011,2,Obligations,Global HIV/AIDS Initiative,USAID,Russia,Russia,Health,HIV/AIDS,-1585.08
2011,4,Obligations,Development Assistance,USAID,Brazil,Brazil,Economic Development,Trade and Investment,-2301.34
2012,4,Obligations,Economic Support Fund,USAID,Panama,Panama,Program Management,Direct Administrative Costs,-23761.54
2011,4,Obligations,Global Health & Child Survival,USAID,Bangladesh,Bangladesh,Health,Nutrition,1856000
2012,2,Obligations,Development Assistance,USAID,USAID Operating Expense,Worldwide,Economic Development,Agriculture,433.25
2013,2,Obligations,Global Health & Child Survival,USAID,Peru,Peru,Health,Family Planning and Reproductive Health,15652.49
2013,4,Obligations,Global Health & Child Survival,USAID,Nicaragua,Nicaragua,Program Management,Direct Administrative Costs,301388.33
2012,4,Obligations,"Assistance for Europe, Eurasia and Central Asia",USAID,Armenia,Armenia,Economic Development,Private Sector Competitiveness,4550000
2014,2,Obligations,Assist. For N.I.S Of Former Soviet Union,USAID,Montenegro,Montenegro,Program Management,Direct Administrative Costs,0
2010,1,Obligations,N/A,Peace Corps,Cambodia,Cambodia,,Health - General,208572.18
2010,4,Obligations,"Assistance for Europe, Eurasia and Central Asia",USAID,Uzbekistan,Uzbekistan,Health,Maternal and Child Health,583921
2012,2,Obligations,Commodity Credit Corp Title II and III,USAID,"USAID Democracy, Conflict and Humanitarian Assistance","Congo, Democratic Republic of",Humanitarian Assistance,"Protection, Assistance and Solutions",6390753.5
2013,3,Obligations,Economic Support Fund,USAID,"Sudan, Pre-2011 Election","Sudan, Pre-2011 Election",Health,Maternal and Child Health,1567
2012,2,Obligations,International Disaster Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Ethiopia,Program Management,Direct Administrative Costs,132127.12
2010,3,Obligations,Transition Initiatives,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Worldwide,Program Management,Direct Administrative Costs,2205665.47
2009,3,Obligations,Special Assistance Initiatives,USAID,Albania,Albania,Economic Development,Infrastructure,32602.93
2013,,Obligations,N/A,USADF,Zimbabwe,Zimbabwe,,Agriculture,718325
2013,3,Obligations,Global Health & Child Survival,USAID,Cameroon,Cameroon,Health,HIV/AIDS,1111417.82
2010,1,Obligations,Operating Expenses,USAID,"USAID Economic Growth, Education and Environment",Worldwide,Program Management,Direct Administrative Costs,3200643.46
2009,4,Obligations,Development Assistance,USAID,Guatemala,Guatemala,Program Management,Monitoring and Evaluation,425000
2012,2,Obligations,Operating Expenses,USAID,Nigeria,Worldwide,Program Management,Direct Administrative Costs,2947644.37
2012,1,Obligations,International Disaster Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Haiti,Humanitarian Assistance,Disaster Readiness,614909
2011,3,Obligations,N/A,USAID,Kenya,Kenya,Humanitarian Assistance,"Protection, Assistance and Solutions",21712700
2013,1,Obligations,N/A,USAID,East Africa Region,East Africa Region,"Democracy, Human Rights, and Governance",Good Governance,150000
2013,3,Obligations,N/A,USAID,Tajikistan,Tajikistan,Health,Maternal and Child Health,420116
2011,4,Obligations,Development Assistance,USAID,Kenya,Kenya,Program Management,Monitoring and Evaluation,3450000
2009,3,Obligations,Global Health & Child Survival,USAID,India,India,Health,HIV/AIDS,-944.39
2012,4,Obligations,N/A,DOS,State Western Hemisphere Regional,State Western Hemisphere Regional,,Multi-Sector - Unspecified,2477604
2014,2,Obligations,Commodity Credit Corp Title II and III,USAID,Jordan,Jordan,Humanitarian Assistance,"Protection, Assistance and Solutions",15960.05
2011,3,Obligations,International Disaster Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Mongolia,Humanitarian Assistance,Disaster Readiness,275000
2012,1,Obligations,Global Health & Child Survival,USAID,Somalia,Somalia,Health,Maternal and Child Health,1017000
2009,4,Obligations,Development Assistance,USAID,Tanzania,Tanzania,"Democracy, Human Rights, and Governance",Civil Society,608000
2010,4,Obligations,Development Assistance,USAID,USAID Operating Expense,Worldwide,Education and Social Services,Basic Education,248.23
2012,3,Obligations,Development Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Worldwide,Education and Social Services,Social Services,1335238
2011,4,Obligations,N/A,USAID,"Congo, Democratic Republic of","Congo, Democratic Republic of",Humanitarian Assistance,"Protection, Assistance and Solutions",1025900
2011,3,Obligations,Global Health & Child Survival,USAID,Benin,Benin,Health,Malaria,1500000
2012,1,Obligations,N/A,Peace Corps,Albania,Albania,,Health - General,518642.29
2010,2,Obligations,Assist. For N.I.S Of Former Soviet Union,USAID,Kazakhstan,Kazakhstan,Health,Maternal and Child Health,-981.5700000000001
2010,1,Obligations,Economic Support Fund,USAID,Zimbabwe,Zimbabwe,Economic Development,Agriculture,2391354
2009,3,Obligations,Assist. For N.I.S Of Former Soviet Union,USAID,Armenia,Armenia,Economic Development,Financial Sector,50726
2011,1,Obligations,Operating Expenses,USAID,Nigeria,Worldwide,Program Management,Direct Administrative Costs,1355856.1
2011,4,Obligations,Development Assistance,USAID,Philippines,Philippines,Peace and Security,Conflict Mitigation and Reconciliation,550000
2013,3,Obligations,Global Health & Child Survival,USAID,Rwanda,Rwanda,Program Management,Monitoring and Evaluation,351871.48
2009,4,Obligations,Economic Support Fund,USAID,West Bank and Gaza,West Bank and Gaza,Peace and Security,Transnational Crime,1350000
2009,3,Obligations,Operating Expenses,USAID,Mexico,Worldwide,Program Management,Direct Administrative Costs,617777.9300000001
2009,2,Obligations,Development Assistance,USAID,Nicaragua,Nicaragua,Economic Development,Agriculture,500563
2012,3,Obligations,Development Assistance,USAID,Morocco,Morocco,"Democracy, Human Rights, and Governance",Civil Society,1043452
2012,4,Obligations,International Disaster Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Costa Rica,Program Management,Direct Administrative Costs,943202.91
2009,3,Obligations,Special Assistance Initiatives,USAID,Albania,Albania,Peace and Security,Transnational Crime,174
2014,2,Obligations,Global Health & Child Survival,USAID,Nigeria,Nigeria,Health,Tuberculosis,3700000
2012,1,Obligations,Economic Support Fund,USAID,"Congo, Democratic Republic of","Congo, Democratic Republic of","Democracy, Human Rights, and Governance",Civil Society,-63.96
2010,3,Obligations,Operating Expenses,USAID,Indonesia,Worldwide,Program Management,Direct Administrative Costs,2269325.26
2012,3,Obligations,"Assistance for Europe, Eurasia and Central Asia",USAID,Macedonia,Macedonia,Economic Development,Private Sector Competitiveness,3934000
2009,4,Obligations,Development Assistance,USAID,"USAID Economic Growth, Education and Environment",East Africa Region,Peace and Security,Conflict Mitigation and Reconciliation,80000
2011,3,Obligations,Economic Support Fund,USAID,Yemen,Yemen,Economic Development,Agriculture,-1
2012,3,Obligations,N/A,DOS,South Asia Region,South Asia Region,,Multi-Sector - Unspecified,1127672
2012,4,Obligations,Development Assistance,USAID,"USAID Economic Growth, Education and Environment",Dominican Republic,Environment,Clean Productive Environment,1000000
2013,4,Obligations,N/A,MCC,Mongolia,Mongolia,Economic Development,Infrastructure,-192798
2013,1,Obligations,Transition Initiatives,USAID,Afghanistan,Afghanistan,Program Management,Monitoring and Evaluation,-1097.01
2013,2,Obligations,Global Health & Child Survival,USAID,Tanzania,Tanzania,Health,Family Planning and Reproductive Health,3075000
2014,1,Obligations,N/A,Peace Corps,Guinea,Guinea,,Health - General,81023.07000000001
2013,3,Obligations,Development Fund for Africa,USAID,Benin,Benin,Program Management,Direct Administrative Costs,-3047.07
2014,2,Obligations,N/A,Peace Corps,Ethiopia,Ethiopia,,Environment - General,99011.33
2011,1,Obligations,Development Assistance,USAID,USAID Africa Regional,Africa Region,Economic Development,Agriculture,2701008.82
2009,4,Obligations,Development Credit Authority,USAID,South Africa,South Africa,Economic Development,Financial Sector,60000
2010,1,Obligations,N/A,Peace Corps,Peru,Peru,,Education and Social Services - General,944434.28
2009,3,Obligations,N/A,MCC,Lesotho,Lesotho,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,250000
2011,0,Obligations,N/A,DoD,Estonia,Estonia,Peace and Security,Counterterrorism,3500000
2010,4,Obligations,Global Health & Child Survival,USAID,Cameroon,Cameroon,Health,HIV/AIDS,1500000
2010,2,Obligations,Development Credit Authority,USAID,Bureau for Management (USAID),Worldwide,Program Management,Direct Administrative Costs,841198.0600000001
2009,1,Obligations,Development Assistance,USAID,USAID Regional Development Mission-Asia,East Asia Region,Environment,Clean Productive Environment,43703.06
2010,1,Obligations,N/A,Peace Corps,Cameroon,Cameroon,,Education and Social Services - General,974710.42
2013,1,Obligations,N/A,Peace Corps,Georgia,Georgia,,Economic Development - General,454845.06
2009,2,Obligations,Development Credit Authority,USAID,"USAID Economic Growth, Education and Environment",Worldwide,Program Management,Direct Administrative Costs,581096.11
2010,4,Obligations,Global Health & Child Survival,USAID,USAID Global Health,Zambia,Health,HIV/AIDS,2000000
2011,4,Obligations,Development Credit Authority,USAID,El Salvador,El Salvador,Economic Development,Financial Sector,204736
2013,1,Obligations,N/A,USAID,Uganda,Uganda,"Democracy, Human Rights, and Governance",Civil Society,1515909.8
2013,4,Obligations,N/A,USAID,Ecuador,Ecuador,Program Management,Monitoring and Evaluation,3840.05
2012,1,Obligations,International Disaster Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Nepal,Humanitarian Assistance,"Protection, Assistance and Solutions",-10033.33
2010,4,Obligations,Global Health & Child Survival,USAID,Honduras,Honduras,Health,Family Planning and Reproductive Health,3458822
2009,4,Obligations,Operating Expenses,USAID,Sri Lanka,Worldwide,Program Management,Direct Administrative Costs,1076739.26
2009,3,Obligations,Assist. For N.I.S Of Former Soviet Union,USAID,Armenia,Armenia,"Democracy, Human Rights, and Governance",Civil Society,737466.89
2014,1,Obligations,N/A,Peace Corps,Kazakhstan,Kazakhstan,,Direct Administrative Costs,-4022.12
2009,3,Obligations,Assist. For N.I.S Of Former Soviet Union,USAID,Moldova,Moldova,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,-875001
2012,1,Obligations,Economic Support Fund,USAID,"Sudan, Pre-2011 Election","Sudan, Pre-2011 Election",Health,Maternal and Child Health,-100000
2013,2,Obligations,Special Assistance Initiatives,USAID,Kosovo,Kosovo,Economic Development,Infrastructure,1002205
2011,4,Obligations,Development Assistance,USAID,Bangladesh,Bangladesh,Program Management,Monitoring and Evaluation,2485000
2011,4,Obligations,"Assistance for Europe, Eurasia and Central Asia",USAID,Tajikistan,Tajikistan,Economic Development,Agriculture,8514717.77
